post_id,post_handle,post,post_timestamp
twitter_6b28c1e490fd944a,,"🌪️ Climate change is affecting us all! 

Are we ready to face the challenge? 

It's time for a serious conversation! 💬",
twitter_f2978e0c60d33ed3,,"""I hope that in future Congresses there will reemerge a recognition that climate change is a reality, that our policies to meet our energy needs must also deal responsibly with environmental issues, including the damage caused by greenhouse gas emissions.""
– Jeff Bingaman🆒🤚",
twitter_3fb8e1b5eb53f3db,,So October is in two days and it’s still 80 degrees out?? And people say climate change isn’t real 🙄,
twitter_c1877a26119b025a,,"🚨NEW: Trump opens vast federal lands for coal leasing to boost industry, per Bloomberg News / Reviving coal ignores the urgent need for clean energy to combat climate change.",
twitter_22d65a4ac4a2ba22,,"🌍 The Numbers Are In 🌍

📊 80–89% of people worldwide want their governments to do *more* on climate.

📊 26% of Americans are *alarmed* about global warming.

📊 28% are *concerned*.

📊 Yet ONLY 2% of all giving goes to protecting people and the planet.

Yet there is 1 you.",
twitter_852a30aae24271e3,,lowkey upset that climate change is doing it’s thing bc it’s 30 degrees in October but lowkey happy because it’s delaying the Seasonal Depression which will be inevitable,
twitter_16798347de1fccd4,,"The environment is essential for sustaining life, supporting biodiversity, and providing resources. Protecting it ensures a healthier future and balance. We must act now to combat pollution and climate change.",
twitter_f46c42cef9a622ad,,"🌱 Renewable energy: the way forward! 

Investing in clean energy sources could save our planet! 

Let's make it happen! 💚",
twitter_ad3b4b1f64a64614,,"⚖️ Heated debates in Congress! 

Some industry leaders say strict regulations could hurt the economy. 

But can we afford to ignore climate change? 🤔",
twitter_2da2a1cded07ea47,,"""There's no question about it: the climate crisis is happening now and we need bold action to address it - and that includes investing in electric transportation and rebuilding our infrastructure."" – Alex Padilla",
twitter_f41894f18fc6a8ee,,it’s the last day of september and it’s supposed to be eighty degrees at four pm today i fucking hate it here FUCK CLIMATE CHANGE,
twitter_617e2f775227bfc1,,China to cut emissions 70 % by 2035 America says climate change a con job of course America selfish bastards only think about dollars from their resources America for America fuck everyone else dirty dogs,
twitter_9becd110f984beb3,,"The Trump administration is made of misfits and clowns. Trump called climate change a hoax. How scary is that. A president to dumb to understand science.
Our grandchildren will pay the price of his stupidity.",
twitter_f94a6b2a15f78649,,When you have multi million dollar yachts and fly around in private jets you can literally STFU about climate change because nobody is buying your bullshit anymore.,
twitter_7418fc825671f8e6,,"Fascism has stages, and we are quickly going through all the stages of fascism to get to the ugliest most deadly parts. It is literally the most important thing for us to be talking about, because we can't end genocide or work on climate change in this fascist regime. Fuck Trump.",
twitter_ccf299eaff96dd9f,,I think the thing that kills me about all these maga cucks that Trump appointed is that despite how much they glamour about climate change being a scam they've all got multi million dollar bunkers in the Rockies because it scares the fucking piss out of them.,
twitter_13bc626d37d37bdc,,So maybe climate change is a result of the entirety of the government blowing smoke up our ass. Not a single ounce of integrity to be had out of Washington. Just crooks and liars. I support none of you,
twitter_dbdb90481076a969,,"It’s insanely warm in the Midwest again this fall and the Orange idiot just told the world Climate Change is a hoax
So who you gonna believe…
Trump 
Or
Your lying a/c bill?",
twitter_8648f99e9d9c6af2,,"Fuck Russell Vought

There is no ""Green New Scam""

Renewable energy is more viable and less expensive, and since Republicans stopped progress, the world has moved ahead of us

Not to mention the ""Green New Deal"" DOESN'T EVEN EXIST

It was a set of ideas never fully implemented",
twitter_2258c4f4ea003a62,,Anyone who doesn’t believe man made climate change is real is stupid. Billionaire oil companies have brainwashed people so they can continue to burn fossil fuels and destroy the planet.,
