text,generation_timestamp
"My state just cut funding again and people act like “it’s about life.” It’s about control—when clinics close, care doesn’t disappear, it just gets more dangerous for women.",2026_05_21-21:07:09
"Anti-abortion lawmakers love “privacy” right up until someone needs care. Then it’s handcuffs, delays, and harassment disguised as morality. That’s not protection.",2026_05_21-21:07:09
One of the most telling things: they can’t explain how “forced pregnancy” helps anyone—so they just scream slogans and call it pro-life.,2026_05_21-21:07:09
"If your “pro-life” plan starts with stripping people of healthcare, refusing childcare, and cutting support after birth… it’s not pro-life, it’s pro-suffering.",2026_05_21-21:07:09
"The way some folks talk about rape/incest like it’s a rare loophole is wild. For real people it’s trauma, and access to care is not negotiable.",2026_05_21-21:07:09
"“Heartbeat bills” don’t care about science, they care about power. They turn pregnancy into a punishment and call it righteousness.",2026_05_21-21:07:09
I’m so tired of the “just keep it” argument—like nobody knows how many people can’t safely carry a pregnancy to term.,2026_05_21-21:07:09
Watching conservatives celebrate Planned Parenthood closures feels like watching someone cheer for preventable suffering.,2026_05_21-21:07:09
It’s frustrating when people act like abortion is some random debate topic instead of medical care with real consequences when it’s restricted.,2026_05_21-21:07:09
"Pro-life rhetoric always changes depending on the moment: first it’s saving babies, then it’s punishing patients, then it’s pretending adoption magically fixes everything.",2026_05_21-21:07:09
"I’m so tired of people treating abortion like a debate instead of a reality. Some of us had to navigate loss, coercion, and health scares—choice saved lives, period.",2026_05_21-21:07:09
Found out my cousin got pressured at a “clinic” that wasn’t the one she actually booked. Told her to double-check every address/phone number—because this harassment is real.,2026_05_21-21:07:09
"Pro-life talk always goes quiet the moment it’s time for prenatal care, childcare, paid leave, or foster support. “Protect life” until it costs anything.",2026_05_21-21:07:09
"If your “concern” is only about stopping abortions but you vote to cut Medicaid, healthcare, and sex ed—don’t call it morality. It’s control.",2026_05_21-21:07:09
I hate the way they weaponize “heartbeat” debates to ignore pregnancy complications. People aren’t scanning anatomy apps—they’re dealing with bodies and doctors.,2026_05_21-21:07:09
