uri,label_timestamp,is_political
2061574106944766332,2026_06_01-23:57:29,True
2061566061510590855,2026_06_01-23:57:29,True
2061554510825394514,2026_06_01-23:57:29,True
2061551170833858997,2026_06_01-23:57:29,True
2061547602131525890,2026_06_01-23:57:29,True
2061547034109255917,2026_06_01-23:57:29,True
2061538524264865905,2026_06_01-23:57:29,True
2061535660570296598,2026_06_01-23:57:29,True
2061525280032805023,2026_06_01-23:57:29,True
2061523436749361656,2026_06_01-23:57:29,True
2061507757019480256,2026_06_01-23:57:29,True
2061504786902495480,2026_06_01-23:57:29,True
2061497321641111672,2026_06_01-23:57:29,True
2061487811585343878,2026_06_01-23:57:29,True
2061460911638892900,2026_06_01-23:57:29,True
2061459034658558253,2026_06_01-23:57:29,True
2061455864335044801,2026_06_01-23:57:29,True
2061455606419243366,2026_06_01-23:57:29,True
2061452328100884616,2026_06_01-23:57:29,True
2061450540324733421,2026_06_01-23:57:29,True
2061444821420580931,2026_06_01-23:57:29,True
2061442766274494588,2026_06_01-23:57:29,True
2061424122526097707,2026_06_01-23:57:29,True
2061421663393104101,2026_06_01-23:57:29,True
2061406238340964554,2026_06_01-23:57:29,True
2061400962523091310,2026_06_01-23:57:29,True
2061372320157950359,2026_06_01-23:57:29,True
2061338743940788333,2026_06_01-23:57:29,True
2061289678997991699,2026_06_01-23:57:29,True
2061274097321980307,2026_06_01-23:57:29,True
2061183641649025073,2026_06_01-23:57:29,True
2061175752758882339,2026_06_01-23:57:29,True
2061157181605683683,2026_06_01-23:57:29,True
2061130037391187998,2026_06_01-23:57:29,True
2061114479992090959,2026_06_01-23:57:29,True
2061107858683416602,2026_06_01-23:57:29,True
2061106504758157770,2026_06_01-23:57:29,True
2061090429966418253,2026_06_01-23:57:29,True
2061089397789937843,2026_06_01-23:57:29,True
2061081222676205849,2026_06_01-23:57:29,True
2061078361015980285,2026_06_01-23:57:29,True
2061071856179044425,2026_06_01-23:57:29,True
2061070503570448597,2026_06_01-23:57:29,True
2061069128522215768,2026_06_01-23:57:29,True
2061054560542818698,2026_06_01-23:57:29,True
2061047581011009973,2026_06_01-23:57:29,True
2061045166153040274,2026_06_01-23:57:29,True
2060999609732988944,2026_06_01-23:57:29,True
2060961842864767339,2026_06_01-23:57:29,True
2060926824222486617,2026_06_01-23:57:29,True
2060921868429963308,2026_06_01-23:57:29,True
2060916742231114244,2026_06_01-23:57:29,True
2060906264666718415,2026_06_01-23:57:29,True
2060902760799748581,2026_06_01-23:57:29,True
2060896938149478876,2026_06_01-23:57:29,True
2060892368371351625,2026_06_01-23:57:29,True
2060885952885608928,2026_06_01-23:57:29,True
2060874207031173120,2026_06_01-23:57:29,True
2060869045327376879,2026_06_01-23:57:29,True
2060852095511634413,2026_06_01-23:57:29,True
2060844371692421286,2026_06_01-23:57:29,True
2060828462231785487,2026_06_01-23:57:29,True
2060820792959545423,2026_06_01-23:57:29,True
2060804726787350570,2026_06_01-23:57:29,True
2060801825016512633,2026_06_01-23:57:29,True
2060796733827752230,2026_06_01-23:57:29,True
2060793012158923254,2026_06_01-23:57:29,True
2060790061000458613,2026_06_01-23:57:29,True
2060788589370212654,2026_06_01-23:57:29,True
2060785560722276643,2026_06_01-23:57:29,True
2060783327376777321,2026_06_01-23:57:29,True
2060755574401405025,2026_06_01-23:57:29,True
2060745859743035523,2026_06_01-23:57:29,True
2060744347042078755,2026_06_01-23:57:29,True
2060736175422296095,2026_06_01-23:57:29,True
2060736175422296095,2026_06_01-23:57:29,True
2060734342075142586,2026_06_01-23:57:29,True
2060724579631349855,2026_06_01-23:57:29,True
2060721964516622517,2026_06_01-23:57:29,True
2060717214781591644,2026_06_01-23:57:29,True
2060717062062793151,2026_06_01-23:57:29,True
2060709730717167859,2026_06_01-23:57:29,True
2060706850153107637,2026_06_01-23:57:29,True
2060693149249351718,2026_06_01-23:57:29,True
2060692206298472763,2026_06_01-23:57:29,True
2060691924982419823,2026_06_01-23:57:29,True
2060691728441696526,2026_06_01-23:57:29,True
2060670108993798159,2026_06_01-23:57:29,True
2060655864311328919,2026_06_01-23:57:29,True
2060651197984358852,2026_06_01-23:57:29,True
2060642913176977531,2026_06_01-23:57:29,True
2060603623521042789,2026_06_01-23:57:29,True
2060589653712130249,2026_06_01-23:57:29,True
2060586291402522702,2026_06_01-23:57:29,True
2060585907359813852,2026_06_01-23:57:29,True
2060559201932652868,2026_06_01-23:57:29,True
2060558484043948482,2026_06_01-23:57:29,True
2060558131965624530,2026_06_01-23:57:29,True
2060550697007874060,2026_06_01-23:57:29,True
2060549616416985248,2026_06_01-23:57:29,True
2060547987982455028,2026_06_01-23:57:29,True
2060546180015132839,2026_06_01-23:57:29,True
2060535462385639721,2026_06_01-23:57:29,True
2060531621972119604,2026_06_01-23:57:29,True
2060530022851531222,2026_06_01-23:57:29,True
2060506541959069737,2026_06_01-23:57:29,True
2060506509247721662,2026_06_01-23:57:29,True
2060498830794039308,2026_06_01-23:57:29,True
2060496455442321903,2026_06_01-23:57:29,True
2060496270519603406,2026_06_01-23:57:29,True
2060482516662837464,2026_06_01-23:57:29,True
2060482239998079167,2026_06_01-23:57:29,True
2060481908488679780,2026_06_01-23:57:29,True
2060481858404508067,2026_06_01-23:57:29,True
2060481504287859150,2026_06_01-23:57:29,True
2060479183541735727,2026_06_01-23:57:29,True
2060476075034206458,2026_06_01-23:57:29,True
2060475859392196795,2026_06_01-23:57:29,True
2060475341416669614,2026_06_01-23:57:29,True
2060471189177323889,2026_06_01-23:57:29,True
2060471013226455519,2026_06_01-23:57:29,True
2060467558793335282,2026_06_01-23:57:29,True
2060465612099338674,2026_06_01-23:57:29,True
2060464524482707542,2026_06_01-23:57:29,True
2060457687012253933,2026_06_01-23:57:29,True
2060456820645511459,2026_06_01-23:57:29,True
2060450299316191676,2026_06_01-23:57:29,True
2060450063818559555,2026_06_01-23:57:29,True
2060440002111090932,2026_06_01-23:57:29,True
2060438195809276396,2026_06_01-23:57:29,True
2060437292343267820,2026_06_01-23:57:29,True
2060435240712053171,2026_06_01-23:57:29,True
2060435092766326891,2026_06_01-23:57:29,True
2060428551837421738,2026_06_01-23:57:29,True
2060428440528912705,2026_06_01-23:57:29,True
2060427338857566210,2026_06_01-23:57:29,True
2060424756877230481,2026_06_01-23:57:29,True
2060418547398987912,2026_06_01-23:57:29,True
2060415205612662831,2026_06_01-23:57:29,True
2060414331397853641,2026_06_01-23:57:29,True
2060412929753731210,2026_06_01-23:57:29,True
2060411669939949747,2026_06_01-23:57:29,True
2060406945714966703,2026_06_01-23:57:29,True
2060405996938297541,2026_06_01-23:57:29,True
2060405838569676838,2026_06_01-23:57:29,True
2060405776808563034,2026_06_01-23:57:29,True
2060405033561203132,2026_06_01-23:57:29,True
2060404991202894020,2026_06_01-23:57:29,True
2060403946406150432,2026_06_01-23:57:29,True
2060402518832673107,2026_06_01-23:57:29,True
2060399420416676112,2026_06_01-23:57:29,True
2060392187305574818,2026_06_01-23:57:29,True
2060391657158172830,2026_06_01-23:57:29,True
2060386367092203934,2026_06_01-23:57:29,True
2060386143342928146,2026_06_01-23:57:29,True
2060385774105710828,2026_06_01-23:57:29,True
2060385032062062735,2026_06_01-23:57:29,True
2060350329024127107,2026_06_01-23:57:29,True
2060343277455306897,2026_06_01-23:57:29,True
2060329747281015171,2026_06_01-23:57:29,True
2060329657451294993,2026_06_01-23:57:29,True
2060271695890464968,2026_06_01-23:57:29,True
2060262903031242870,2026_06_01-23:57:29,True
2060228299541062068,2026_06_01-23:57:29,True
2060228299541062068,2026_06_01-23:57:29,True
2060223322151948666,2026_06_01-23:57:29,True
2060205439028199774,2026_06_01-23:57:29,True
2061592458442465687,2026_06_01-23:57:29,True
2061591128600703061,2026_06_01-23:57:29,True
2061571276766925195,2026_06_01-23:57:29,True
2061569123918741863,2026_06_01-23:57:29,True
2061560953016119716,2026_06_01-23:57:29,True
2061554999700918568,2026_06_01-23:57:29,True
2061531672521167055,2026_06_01-23:57:29,True
2061512895163162790,2026_06_01-23:57:29,True
2061493525535937024,2026_06_01-23:57:29,True
2061488125231140917,2026_06_01-23:57:29,True
2061456985292234931,2026_06_01-23:57:29,True
2061453748644327639,2026_06_01-23:57:29,True
2061448762585755967,2026_06_01-23:57:29,True
2061448641110245409,2026_06_01-23:57:29,True
2061448422838665589,2026_06_01-23:57:29,True
2061445632330465715,2026_06_01-23:57:29,True
2061425926819455105,2026_06_01-23:57:29,True
2061410361517989921,2026_06_01-23:57:29,True
2061405907410378867,2026_06_01-23:57:29,True
2061296761482748040,2026_06_01-23:57:29,True
2061246717735973029,2026_06_01-23:57:29,True
2061242759118295180,2026_06_01-23:57:29,True
2061204047542067655,2026_06_01-23:57:29,True
2061202225368883343,2026_06_01-23:57:29,True
2061164418688499959,2026_06_01-23:57:29,True
2061150291769368742,2026_06_01-23:57:29,True
