tweet_id,text,author_id,username,created_at,like_count,retweet_count,reply_count,quote_count,url,keyword,sync_timestamp,news_or_opinion_category,is_political,is_self_contained,is_structurally_complete,toxicity_prob,toxicity_tier,political_stance
2061605868894908929,"@jaclynmdiaz the central question you must explore is this:

Gun control laws are supposedly enacted to prevent violence by criminals and lunatics, but only sane, law abiding people follow the laws.  

When do criminals and lunatics care about laws?  By definition, they don't.",992244109,FriedmanBrock,2026-06-01 19:28:36-05:00,2,0,1,0,https://x.com/i/web/status/2061605868894908929,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.4475325,medium,right
2061599476733661536,"It is imperative that working class people do not surrender their firearms. In an age of Constitutional violations and Palantir Surveilance, we need to assert the right to self defense more than ever.

Gun control leaves working people and minorities defenseless. Protect 2A",2061547961339838465,leftgunguy,2026-06-01 19:03:12-05:00,0,0,0,0,https://x.com/i/web/status/2061599476733661536,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.033334624,low,right
2061598669804023813,"Ever since arriving in the U.S., @GLOCKInc pistols have been under steady attack by gun control activists.

NRA's Mark Keefe puts the latest legislative push in context, showing how it follows a decades-old pattern of blaming firearms instead of criminals. ",21829541,NRA,2026-06-01 19:00:00-05:00,292,54,16,3,https://x.com/i/web/status/2061598669804023813,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.08716487,low,right
2061596969961697390,Women’s neuroticism about men asking them out is why women are basically The Constituency for Bloomberg Inc gun control faggotry,2004068167572930560,geraldbullTiVo,2026-06-01 18:53:14-05:00,28,0,0,0,https://x.com/i/web/status/2061596969961697390,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.5972042,medium,right
2060188646091743524,"What do Democrats do? Go create more Gun Control laws to go against Law Abiding gun owners. Democrats are by far, the most Evil group of people on Earth.   ",23946566,southernarcher,2026-05-28 21:37:04-05:00,0,0,0,0,https://x.com/i/web/status/2060188646091743524,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.50503236,medium,right
2060145571181035996,When Roger Daltrey was on Bill Maher’s show Bill ask him why he still lives in Britain rather than the U.S. His answer was “No Guns.” UK has strong gun control laws. Only 7% of homicide in UK are gun related. Here in the U.S. it’s 76%. Tell me again why gun control doesn’t work.,1407315811371569154,perrygreenber13,2026-05-28 18:45:54-05:00,0,0,0,0,https://x.com/i/web/status/2060145571181035996,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.050573748,low,left
2060138385306689823,"This video proves why gun control never works,  will never work and it's stupidity at its most basic idealogy. Other Countries have no guns but still have mass death events. 300+m guns in the US. Felons have guns. What will you do when they attack? 

",93283607,DrkWily,2026-05-28 18:17:21-05:00,0,0,0,0,https://x.com/i/web/status/2060138385306689823,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.53579444,medium,right
2060121579900543325,"Gun control advocates are actually gun confiscation advocates. Their little roadmap from the 1990s is still their master plan. 

Big thanks to @taqiyyamcknbrd for getting this over to me. 

Read more - article linked in the next post. ",731307763612155904,regularguyguns,2026-05-28 17:10:34-05:00,21,8,5,0,https://x.com/i/web/status/2060121579900543325,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.026028076,low,right
2060116990094667871,"I will never vote for someone who supports killing babies.
Never vote for someone who lies about there being more than two genders.
Never vote for someone who supports gun control.
Never vote for someone who is soft on crime.
Never vote open borders.

Period. 

My values.",1881390345885245442,TruthSe3kerEt,2026-05-28 16:52:20-05:00,2,0,0,0,https://x.com/i/web/status/2060116990094667871,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.2786282,medium,right
2060076759454814337,"""What about war? What about gun control? What about this GOP candidate? What about Bible verses on crops or slavery?""

Ever notice how often abortion apologists insist on changing the subject to anything BUT abortion?",475404591,CalFreiburger,2026-05-28 14:12:28-05:00,0,0,0,0,https://x.com/i/web/status/2060076759454814337,gun control,2026_06_02-13:45:18,opinion,True,True,True,0.11150667,medium,left
