uri,is_self_contained
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz5jngim22c,True
at://did:plc:4x2n25hyaykkxz37qchwmhqc/app.bsky.feed.post/3mmz5hguiwy2g,False
at://did:plc:q7ks2fhhxoydrcjdxyqvloyo/app.bsky.feed.post/3mmz5dn2ghk2w,False
at://did:plc:7zt22bu4xfjuym5zjwfwgzp6/app.bsky.feed.post/3mmz4ojdrns2b,True
at://did:plc:3nysgyurk3lihminqor65t4o/app.bsky.feed.post/3mmz4dmzmvk2n,False
at://did:plc:bgt62gzl3y5ke7b45xi5vkvu/app.bsky.feed.post/3mmz42sx4cv2k,True
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz3xxalxs2h,True
at://did:plc:tq5hbjjqxkw6h5ph7t55jfgw/app.bsky.feed.post/3mmz3t4wjln2z,True
at://did:plc:6aw4p4tkwc5qf4mvzlwz7p5j/app.bsky.feed.post/3mmz3pr5r2s2g,False
at://did:plc:3gn4uiw4cyocrhsokfe4maue/app.bsky.feed.post/3mmz3l2x7ik2t,True
