uri,toxicity_prob,toxicity_tier
at://did:plc:nx2svqt5sdm2xmkbxcgmpzis/app.bsky.feed.post/3mmz3c7yapc2a,0.07054565,low
at://did:plc:h2go4atbpgzfv6e3ua5carux/app.bsky.feed.post/3mmz36cad3c2y,0.32764325,medium
at://did:plc:4x2n25hyaykkxz37qchwmhqc/app.bsky.feed.post/3mmz2aeto6r24,0.01847211,low
at://did:plc:cukyh664zwfwfsi2qo7otdkl/app.bsky.feed.post/3mmz27msygy2j,0.057005897,low
at://did:plc:lwrk7fcbscw66bwoqazsbud3/app.bsky.feed.post/3mmyzybceis2i,0.039462693,low
at://did:plc:vdvqgvmivyud2qhpiyq6izdh/app.bsky.feed.post/3mmyzsiev4s2l,0.1460314,medium
at://did:plc:pmgkr2vi3ci2a7hlt32762hs/app.bsky.feed.post/3mmyza7kpmc2n,0.1100022,medium
at://did:plc:r4jv6ovwzxhfx7xfwelz7dwa/app.bsky.feed.post/3mmyyn5ubms23,0.015267765,low
at://did:plc:jljrsmoxxtz37q66g2chzv6z/app.bsky.feed.post/3mmyyekgasc2g,0.23451406,medium
at://did:plc:hsd6gnddmn62f5d2r3jzqsry/app.bsky.feed.post/3mmyxt4eqek2j,0.02968135,low
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmyxdn2di22d,0.08004235,low
at://did:plc:z47enkw4ua4fsyq62vlhcqxw/app.bsky.feed.post/3mmyxbidh7s2d,0.16331999,medium
at://did:plc:5edutbcjbvtmshgnlm3dqnsn/app.bsky.feed.post/3mmyx5fybok24,0.09112182,low
at://did:plc:3xepiia4o2vi72cspauocraa/app.bsky.feed.post/3mmyx2hfjac2t,0.04785245,low
at://did:plc:7adattnzwycnqd4li53vqg4x/app.bsky.feed.post/3mmywmxadzs2d,0.1373533,medium
at://did:plc:2uivt62xkkz55tyiulxzb3ch/app.bsky.feed.post/3mmywm6jqa22l,0.061444655,low
at://did:plc:fgx2meacgtgvjoudmc2uzlqm/app.bsky.feed.post/3mmywi42zgk2q,0.033806015,low
at://did:plc:cusaw5uta6s5lnonfv77fqph/app.bsky.feed.post/3mmywascekc25,0.3286776,medium
at://did:plc:65lajs2naecrkmwgazzgz62u/app.bsky.feed.post/3mmyw4cyz422g,0.0926474,low
at://did:plc:4fd463xn7xbvgswz7wolvjt4/app.bsky.feed.post/3mmyvsra3w22w,0.04785245,low
at://did:plc:lgaygody2ykq5iwninfxyzre/app.bsky.feed.post/3mmyvn5bgl22s,0.2312681,medium
at://did:plc:wrqrpjtklqskyd5z6f2cqy5u/app.bsky.feed.post/3mmyvg7teo22d,0.37751234,medium
at://did:plc:ha75md7pravn2bz6tzfggbqt/app.bsky.feed.post/3mmyukalfcs2v,0.015142105,low
at://did:plc:5uju5s27ns2gdbizm7ypozfc/app.bsky.feed.post/3mmyu2t6j6c2t,0.2854699,medium
at://did:plc:4xqt7t2zph634drigtdxdmro/app.bsky.feed.post/3mmyttglzcs2r,0.029445656,low
at://did:plc:2mow7kzge7glgb2jljb2ypfn/app.bsky.feed.post/3mmytk433xc2c,0.14082454,medium
at://did:plc:rxlrgdzlxnwg7fdixe4rcmuc/app.bsky.feed.post/3mmytefznvc2l,0.30527395,medium
at://did:plc:rwdnojpotckuwmo3tzxb4lbh/app.bsky.feed.post/3mmytdnjj4k2v,0.03828422,low
at://did:plc:cjxgy42vdiklh35qxyeojmaj/app.bsky.feed.post/3mmyrvgpho52x,0.05205809,low
at://did:plc:lq4cbzfizpp7txlmh25gbefw/app.bsky.feed.post/3mmyrnzdae22u,0.034513097,low
at://did:plc:fxc25wsnpboh3sheoooftwco/app.bsky.feed.post/3mmyrie6ztk2k,0.11388343,medium
